cik,fund_id,filer_name,canonical_manager,legal_adviser,verification_status,evidence_source,evidence_accession,evidence_statement,evidence_excerpt_sha256,confidence
1807427,CIK1807427,BLUE OWL CAPITAL CORP III,Blue Owl Credit,Blue Owl Credit Advisors LLC,verified,https://www.sec.gov/Archives/edgar/data/1807427/000180742724000010/orcc-20231231.htm,0001807427-24-000010,Official 10-K contains the adviser evidence token 'blue owl credit advisors'.,a6fbc6c94c35133c92dd5874adb3a9db996186abff4706e11befaeb874ba07ca,high
1811972,CIK1811972,BARINGS CAPITAL INVESTMENT CORP,Barings,Barings LLC,verified,https://www.sec.gov/Archives/edgar/data/1811972/000181197226000004/bdc-20251231.htm,0001811972-26-000004,Official 10-K contains the adviser evidence token 'barings llc'.,32c459b2f1360199501961091120dd169583c3cd82b39ae6daeece4cba3a7816,high
1843162,LIEN,"CHICAGO ATLANTIC BDC, INC.",Chicago Atlantic,"Chicago Atlantic BDC Advisers, LLC",verified,https://www.sec.gov/Archives/edgar/data/1843162/000119312526115112/lien-20251231.htm,0001193125-26-115112,Official 10-K contains the adviser evidence token 'chicago atlantic bdc advisers'.,49bca15b5f53959bef5b7430240b073d4b8e7dc68d82d7c1d140ee29cf45b47e,high
1859919,CIK1859919,BARINGS PRIVATE CREDIT CORP,Barings,Barings LLC,verified,https://www.sec.gov/Archives/edgar/data/1859919/000185991926000022/bdc-20251231.htm,0001859919-26-000022,Official 10-K contains the adviser evidence token 'barings llc'.,68d7f7fdcc0451b7083045bb07010ff95e0e630d38e4c5c06fc940e026254e34,high
1869453,CIK1869453,BLUE OWL TECHNOLOGY INCOME CORP.,Blue Owl Credit,Blue Owl Technology Credit Advisors LLC,verified,https://www.sec.gov/Archives/edgar/data/1869453/000186945326000017/ortic-20251231.htm,0001869453-26-000017,Official 10-K contains the adviser evidence token 'blue owl technology credit advisors'.,fd32156e4c02f98f19f37b0ce4695effb2b5af37bdecd517831d38fc5c55b71e,high
1872371,CIK1872371,OAKTREE STRATEGIC CREDIT FUND,Oaktree Capital Management,"Oaktree Fund Advisors, LLC",verified,https://www.sec.gov/Archives/edgar/data/1872371/000187237125000018/oscf-20250930.htm,0001872371-25-000018,Official 10-K contains the adviser evidence token 'oaktree fund advisors'.,433fcb1226ecd6a13ff8c18305b725953872ea00e096a986bb925d97f7de8a4a,high
1889668,CIK1889668,BLUE OWL TECHNOLOGY FINANCE CORP. II,Blue Owl Credit,Blue Owl Technology Credit Advisors II LLC,verified,https://www.sec.gov/Archives/edgar/data/1889668/000188966825000006/ortf-20241231.htm,0001889668-25-000006,Official 10-K contains the adviser evidence token 'blue owl technology credit advisors'.,fd32156e4c02f98f19f37b0ce4695effb2b5af37bdecd517831d38fc5c55b71e,high
1901037,CIK1901037,STELLUS PRIVATE CREDIT BDC,Stellus Capital Management,"Stellus Capital Management, LLC",verified,https://www.sec.gov/Archives/edgar/data/1901037/000110465926027592/tmb-20251231x10k.htm,0001104659-26-027592,Official 10-K contains the adviser evidence token 'stellus capital management'.,c1a5b21ba6eaf1c035db29656211d5485a90affcd9bc5e5a3224006022b2c520,high
1923622,PGIM,PGIM PRIVATE CREDIT FUND,PGIM,PGIM Private Capital,verified,https://www.sec.gov/Archives/edgar/data/1923622/000119312526111462/ck0001923622-20251231.htm,0001193125-26-111462,Official 10-K contains the adviser evidence token 'pgim private capital'.,89fdafdd15ba62d1cb25a0594abf8d692c87c185fed20b5bfc325fc359ce7e4f,high
1925531,CIK1925531,"NEW MOUNTAIN GUARDIAN IV BDC, L.L.C.",New Mountain Capital,"New Mountain Guardian IV BDC Adviser, L.L.C.",verified,https://www.sec.gov/Archives/edgar/data/1925531/000192553126000003/nmg4-20251231.htm,0001925531-26-000003,Official 10-K contains the adviser evidence token 'new mountain'.,ca0abad608127565964bca852bc789b3f0f01ff8905e968bbc962bdeaedb0115,high
1976719,CIK1976719,"NEW MOUNTAIN GUARDIAN IV INCOME FUND, L.L.C.",New Mountain Capital,"New Mountain Guardian IV Income Fund Adviser, L.L.C.",verified,https://www.sec.gov/Archives/edgar/data/1976719/000197671926000005/nmg4-20251231.htm,0001976719-26-000005,Official 10-K contains the adviser evidence token 'new mountain'.,9cbc3d2f05302c85e2074c322a12e2f2f2ef03553e5ad83b06c97675e4f26b73,high
