ticker,cik,listed_status,report_period_end,report_period_label,aggregated_facilities,current_period_facilities,pct_non_missing_borrower,pct_non_missing_debt_equity,pct_non_missing_facility_type,pct_non_missing_lien,pct_non_missing_currency,pct_non_missing_reference_rate,pct_non_missing_spread,pct_non_missing_maturity,pct_non_missing_funded_status,pct_non_missing_principal,pct_non_missing_fair_value,facilities_entering_borrower_candidate_blocks,facility_pairs_involving_fund,pairs_passing_informative_ge3,internal_predicted_same_facility_high,source_facilities_with_prior_match,target_prior_matches,verified_reporting_order_available,source_before_target_opportunities,eligible_pre_reveal_observations,movement_eligible_observations,first_loss_stage,dominant_exclusion_reason
ARCC,1287750,listed,2023-12-31,2023Q4,2240,1190,100.0,86.218,86.218,68.067,0.0,0.0,61.849,0.0,100.0,67.899,100.0,197,534,355,160,0,0,True,9,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
ASIF,1918712,non-listed,2023-12-31,2023Q4,461,341,100.0,95.894,95.894,86.217,0.0,0.0,88.563,0.0,100.0,90.323,100.0,230,538,330,159,0,0,True,0,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
BBDC,1379785,listed,2023-12-31,2023Q4,1787,920,100.0,57.065,57.717,41.63,0.0,0.0,43.587,0.0,100.0,84.457,100.0,28,64,2,0,0,0,True,5,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
BCRED,1803498,non-listed,2023-12-31,2023Q4,2646,1309,100.0,2.75,2.75,0.0,0.0,0.076,94.652,0.0,100.0,94.652,100.0,478,1369,15,0,0,0,True,0,0,0,B_weak_XBRL_tagging,B_weak_XBRL_tagging
BXSL,1736035,listed,2023-12-31,2023Q4,591,340,100.0,4.412,4.412,0.0,0.0,0.0,87.941,0.0,100.0,87.941,100.0,329,930,15,0,0,0,True,1,0,0,B_weak_XBRL_tagging,B_weak_XBRL_tagging
CGBD,1544206,listed,2023-12-31,2023Q4,528,262,100.0,98.092,98.092,84.351,0.0,0.0,83.969,0.0,100.0,84.351,100.0,3,4,2,0,0,0,True,2,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
FSK,1422183,listed,2023-12-31,2023Q4,902,459,100.0,27.887,28.54,0.436,0.0,0.436,66.231,0.0,100.0,76.035,100.0,0,0,0,0,0,0,True,3,0,0,B_weak_XBRL_tagging,B_weak_XBRL_tagging
GBDC,1476765,listed,2023-12-31,2023Q4,2931,1508,100.0,22.546,22.546,13.66,0.0,0.0,81.764,0.0,100.0,83.09,100.0,37,207,92,1,0,0,True,10,0,0,B_weak_XBRL_tagging,B_weak_XBRL_tagging
GSBD,1572694,listed,2023-12-31,2023Q4,742,385,98.701,98.701,98.701,92.987,0.0,0.0,87.273,91.169,100.0,91.169,99.221,7,15,2,0,0,0,True,0,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
HPS,1838126,non-listed,2023-12-31,2023Q4,794,448,100.0,2.679,2.679,0.67,0.0,0.0,76.786,0.0,100.0,97.098,100.0,193,787,0,0,0,0,True,0,0,0,B_weak_XBRL_tagging,B_weak_XBRL_tagging
HTGC,1280784,listed,2023-12-31,2023Q4,828,411,100.0,95.864,95.864,33.577,0.0,32.117,30.9,0.0,100.0,36.01,100.0,4,12,2,0,0,0,True,6,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
MAIN,1396440,listed,2023-12-31,2023Q4,1078,565,100.0,85.841,87.257,60.708,0.0,0.531,41.239,0.0,100.0,60.531,100.0,26,55,6,0,0,0,True,5,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
MFIC,1278752,listed,2023-12-31,2023Q4,1042,548,99.818,67.153,67.883,53.102,0.0,43.431,44.891,48.175,100.0,48.175,99.27,1,5,0,0,0,0,True,4,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
NMFC,1496099,listed,2023-12-31,2023Q4,1029,520,100.0,93.269,93.654,85.385,0.0,0.0,65.769,0.0,100.0,85.962,100.0,181,672,271,101,0,0,True,5,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
OBDC,1655888,listed,2023-12-31,2023Q4,916,476,100.0,91.807,92.437,86.555,0.0,0.0,80.882,0.0,90.756,86.975,100.0,359,1220,829,332,0,0,True,5,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
OCIC,1812554,non-listed,2023-12-31,2023Q4,1242,776,100.0,69.588,69.845,67.01,0.0,0.0,90.979,0.0,90.335,93.299,100.0,550,1614,886,361,0,0,True,0,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
OCSL,1414932,listed,2023-12-31,2023Q4,741,374,100.0,91.444,97.594,76.471,0.0,5.882,69.786,0.0,100.0,83.422,100.0,48,186,111,4,0,0,True,10,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
PSEC,1287032,listed,2023-12-31,2023Q4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,True,0,0,0,no_current_period_facilities,no_current_period_facilities
TSLX,1508655,listed,2023-12-31,2023Q4,423,227,100.0,99.559,99.559,46.696,0.0,56.388,68.282,0.0,100.0,67.841,100.0,1,6,2,0,0,0,True,7,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
ARCC,1287750,listed,2024-03-31,2024Q1,2413,1220,100.0,85.984,85.984,68.361,0.0,0.0,62.459,0.0,100.0,68.115,100.0,235,639,446,212,565,99,True,11,12,4,G_limited_19_fund_universe,G_limited_19_fund_universe
ASIF,1918712,non-listed,2024-03-31,2024Q1,768,427,100.0,93.208,93.208,81.967,0.0,0.0,86.651,0.0,100.0,89.93,100.0,278,661,434,209,232,0,True,0,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
BBDC,1379785,listed,2024-03-31,2024Q1,1875,955,100.0,57.592,58.534,41.047,0.0,0.0,44.084,0.0,100.0,83.665,100.0,29,73,2,0,397,0,True,6,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
BCRED,1803498,non-listed,2024-03-31,2024Q1,2602,1293,100.0,2.707,2.707,0.0,0.0,0.077,94.354,0.0,100.0,94.354,100.0,497,1430,15,0,30,0,True,0,0,0,B_weak_XBRL_tagging,B_weak_XBRL_tagging
BXSL,1736035,listed,2024-03-31,2024Q1,702,362,100.0,4.144,4.144,0.0,0.0,0.0,88.674,0.0,100.0,88.674,100.0,352,1016,15,0,13,11,True,3,0,0,B_weak_XBRL_tagging,B_weak_XBRL_tagging
CGBD,1544206,listed,2024-03-31,2024Q1,520,258,100.0,98.062,98.062,85.271,0.0,0.0,83.333,0.0,100.0,85.271,100.0,3,4,2,0,198,0,True,4,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
FSK,1422183,listed,2024-03-31,2024Q1,929,468,100.0,27.35,27.991,0.427,0.0,0.427,66.88,0.0,100.0,77.778,100.0,0,0,0,0,88,0,True,0,0,0,B_weak_XBRL_tagging,B_weak_XBRL_tagging
GBDC,1476765,listed,2024-03-31,2024Q1,2964,1541,100.0,21.544,21.544,13.433,0.0,0.0,82.414,0.0,100.0,83.842,100.0,41,211,107,1,98,1,True,8,0,0,B_weak_XBRL_tagging,B_weak_XBRL_tagging
GSBD,1572694,listed,2024-03-31,2024Q1,791,404,98.762,98.02,98.02,92.327,0.0,0.0,85.644,90.347,100.0,90.099,97.772,7,15,2,0,143,1,True,5,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
HPS,1838126,non-listed,2024-03-31,2024Q1,911,463,100.0,2.376,2.376,0.864,0.0,0.0,76.242,0.0,100.0,96.328,100.0,194,835,0,0,3,0,True,0,0,0,B_weak_XBRL_tagging,B_weak_XBRL_tagging
HTGC,1280784,listed,2024-03-31,2024Q1,825,416,100.0,97.115,97.115,34.135,0.0,32.692,31.971,0.0,100.0,36.298,100.0,4,12,2,0,304,1,True,8,1,0,G_limited_19_fund_universe,G_limited_19_fund_universe
MAIN,1396440,listed,2024-03-31,2024Q1,1136,571,100.0,86.34,87.741,60.771,0.0,0.701,40.806,0.0,100.0,60.595,100.0,21,34,6,0,177,0,True,0,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
