observation_id,report_period_end,report_period_label,borrower_norm,source_ticker,source_cik,source_listed_status,target_ticker,target_cik,source_facility_id,source_prior_facility_id,target_prior_facility_id,source_results_timestamp_utc,source_mark_public_timestamp_utc,source_information_timestamp_utc,source_mark_public_evidence,target_prior_public_timestamp_utc,target_cutoff_timestamp_utc,reporting_window_days,source_current_mark,source_prior_mark,source_delta_mark,source_delta_pp,movement_eligible,development_borrower_excluded,target_current_outcome_used_for_eligibility,outcomes_revealed,unit_of_analysis
SN3X_58982152d6aa383b4db57f299a78,2025-03-31,2025Q1,baker tilly advisory,NMFC,1496099,listed,OBDC,1655888,EF_86ab02a91961d541d6b711a68ea9,EF_2c9cce8064c0cae7b21b7e333d86,EF_548c25be0074da701f0c495bb0dc,2025-05-05T20:16:38Z,2025-05-05T16:21:00Z,2025-05-05T20:16:38Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2025-02-19T16:33:00Z,2025-05-07T20:15:44Z,1.999375,0.9925285672,0.9925476730,-0.0000191058,-0.001911,False,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_5ac872c34a649beb9f6bb936f1ca,2024-03-31,2024Q1,confluent medical technologies,NMFC,1496099,listed,OBDC,1655888,EF_ec589d32961c66e34e5a29829241,EF_18186f88d232b412c1ee00e20df3,EF_4b6866a87ccfc748cd06e5fbeea8,2024-05-01T21:02:05Z,2024-05-01T17:09:00Z,2024-05-01T21:02:05Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-02-21T21:56:10Z,2024-05-08T20:11:16Z,6.964711,0.9999273044,0.9907736665,0.0091536379,0.915364,True,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_5c5c651bddaf419dc7dbf04b8cf3,2024-03-31,2024Q1,relativity oda,ARCC,1287750,listed,OBDC,1655888,EF_4f262169142ae59142a3ca6316db,EF_ec2c878598c24b054d1d1dca5926,EF_68d9b85f808e8204a2ea61be0729,2024-04-30T21:30:34Z,2024-04-30T21:41:00Z,2024-04-30T21:41:00Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-02-21T21:56:10Z,2024-05-08T20:11:16Z,7.937685,1.0000000000,1.0000000000,0.0000000000,0.000000,False,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_5c7650075eea1e825faee35241c4,2024-12-31,2024Q4,icefall parent,ARCC,1287750,listed,NMFC,1496099,EF_a71d3c484895822f38e4937551ff,EF_026da9fbe215e11d7202bec46b1a,EF_215de7349fc49402969293b3f8f8,2025-02-04T21:10:20Z,2025-02-04T21:36:00Z,2025-02-04T21:36:00Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-10-30T20:14:36Z,2025-02-26T21:25:39Z,21.992812,1.0000000000,1.0000000000,0.0000000000,0.000000,False,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_5ce5f9a2a570fc4128780d0b9bc4,2024-12-31,2024Q4,pdi ta,OBDC,1655888,listed,NMFC,1496099,EF_507404e2df7634169e33d95d9f55,EF_812c858fdbbdc175e954486e2318,EF_c60462ed167af6d2777a2a31c728,2025-01-16T13:30:14Z,2025-02-19T16:33:00Z,2025-02-19T16:33:00Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-10-30T20:14:36Z,2025-02-26T21:25:39Z,7.203229,0.9900187567,0.9900434347,-0.0000246780,-0.002468,False,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_5dcb607a91c129533252ae904256,2025-06-30,2025Q2,baker tilly advisory,NMFC,1496099,listed,OBDC,1655888,EF_81f5346750f8ea609f9c8999ad9b,EF_86ab02a91961d541d6b711a68ea9,EF_5aac6d2eafefd78c3fe575f88c59,2025-08-04T20:39:28Z,2025-08-04T16:49:00Z,2025-08-04T20:39:28Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2025-05-07T20:15:44Z,2025-08-06T20:05:51Z,1.976655,1.0000000000,0.9925285672,0.0074714328,0.747143,True,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_62f04b8bdc58b208bdfd139c5eef,2024-12-31,2024Q4,galway borrower,ARCC,1287750,listed,NMFC,1496099,EF_14c6b5fe9f2baeebc8afce767966,EF_ebfe98976f282bf9e8829e45280e,EF_06e5f717bf9f8a5b45a6bf1165dc,2025-02-04T21:10:20Z,2025-02-04T21:36:00Z,2025-02-04T21:36:00Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-10-30T20:14:36Z,2025-02-26T21:25:39Z,21.992812,1.0000000000,1.0000000000,0.0000000000,0.000000,False,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_63572ae06bee9ea1fdd2fd29e3a2,2024-06-30,2024Q2,imprivata,ARCC,1287750,listed,OBDC,1655888,EF_d2c4a6886fca4657cb8b353a0919,EF_6b909f7b0ba66cae21855b860e95,EF_725ba9d0390dde7b49831c14b7e3,2024-07-29T20:56:19Z,2024-07-29T21:10:00Z,2024-07-29T21:10:00Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-05-08T20:11:16Z,2024-08-07T20:16:31Z,8.962859,1.0000000000,1.0000000000,0.0000000000,0.000000,False,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_64b2b2b3f5ef0b02775022f1a5d6,2024-03-31,2024Q1,pluralsight,OCSL,1414932,listed,OBDC,1655888,EF_14a08a39ea0f38ccd398e3a8acaf,EF_e43e90f71e73de1cd9f427d9451e,EF_c216576b9f7575d0a84354ff66db,2024-04-29T22:41:19Z,2024-04-29T18:41:00Z,2024-04-29T22:41:19Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-02-21T21:56:10Z,2024-05-08T20:11:16Z,8.895799,0.9030023095,0.9496296296,-0.0466273201,-4.662732,True,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_65bca13f80a0978a2ba8b7b4b13f,2024-03-31,2024Q1,athenahealth,NMFC,1496099,listed,OBDC,1655888,EF_5e225542b9dc7d1e735f755c8a1d,EF_89d60cd651a2c87b1e8c1287df1f,EF_cfaca957ea9386327fee85e2f26e,2024-05-01T21:02:05Z,2024-05-01T17:09:00Z,2024-05-01T21:02:05Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-02-21T21:56:10Z,2024-05-08T20:11:16Z,6.964711,0.9918407311,0.9978929625,-0.0060522314,-0.605223,True,False,False,False,source BDC x report period x borrower x economic_facility_v2
