review_observation_id,source_event_cluster_id,period_end,report_period_label,normalized_borrower,source_ticker,target_ticker,source_manager,target_manager,manager_relationship,source_current_raw_identifier,source_current_facility_type,source_current_lien,source_current_currency,source_current_reference_rate,source_current_spread,source_current_maturity,source_current_funded_status,source_current_acquisition_date,source_current_constituent_raw_identifiers_json,source_current_aggregation_lot_count,source_current_accepted_timestamp_utc,source_prior_raw_identifier,source_prior_facility_type,source_prior_lien,source_prior_currency,source_prior_reference_rate,source_prior_spread,source_prior_maturity,source_prior_funded_status,source_prior_acquisition_date,source_prior_constituent_raw_identifiers_json,source_prior_aggregation_lot_count,source_prior_accepted_timestamp_utc,target_prior_raw_identifier,target_prior_facility_type,target_prior_lien,target_prior_currency,target_prior_reference_rate,target_prior_spread,target_prior_maturity,target_prior_funded_status,target_prior_acquisition_date,target_prior_constituent_raw_identifiers_json,target_prior_aggregation_lot_count,target_prior_accepted_timestamp_utc,source_current_evidence_id,source_prior_evidence_id,target_prior_evidence_id,source_results_public_timestamp_utc,source_mark_public_timestamp_utc,source_information_timestamp_utc,source_prior_public_timestamp_utc,target_prior_public_timestamp_utc,target_cutoff_timestamp_utc,source_mark_public_evidence,source_timing_evidence_id,source_timing_evidence_statement,target_cutoff_evidence_id,target_cutoff_evidence_statement,source_temporal_same_facility,source_to_target_prior_same_facility,source_aggregation_valid,target_prior_aggregation_valid,include_for_confirmatory_test,review_notes
D4R_412a13d3322f85b3e81def5d,D4C_088389f54e4f357eb5bc8eca,2024-06-30,2024Q2,dealer tire financial,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager,"Dealer Tire Financial, LLC 1, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0375,,funded,,"[""Dealer Tire Financial, LLC 1, First lien - Funded""]",1,2024-07-31T17:12:00Z,"Dealer Tire Financial, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0375,,funded,,"[""Dealer Tire Financial, LLC, First lien - Funded""]",1,2024-05-01T17:09:00Z,"Dealer Tire Financial, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0375,,funded,,"[""Dealer Tire Financial, LLC, First lien senior secured loan""]",1,2024-05-08T16:11:00Z,EVID_1e01e63c84ba8df6bb09377cd12c,EVID_91e530de6cbfc233c62ca3600245,EVID_88a1bcc66efa26919fedc23814cb,2024-07-31T21:02:57Z,2024-07-31T17:12:00Z,2024-07-31T21:02:57Z,2024-05-01T21:02:05Z,2024-05-08T20:11:16Z,2024-08-07T20:16:31Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_6971524935f6fda37740b5845c00,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_fe2c2091eb45d44c8e13f1e154bd,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_44182bb1be3a426d5b0ad4b6,D4C_05f7b9915aace57c227c2759,2024-09-30,2024Q3,bw,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager,"BW Holding, Inc., First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""BW Holding, Inc., First lien - Funded""]",1,2024-10-30T16:35:00Z,"BW Holding, Inc., First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""BW Holding, Inc., First lien - Funded""]",1,2024-07-31T17:12:00Z,"BW Holding, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""BW Holding, Inc., First lien senior secured loan""]",1,2024-08-07T16:28:00Z,EVID_9fd2983e4a24ab1f6e4627daca15,EVID_54bf6958da45d993cda20d7a0b1c,EVID_49182ea62b84f5668db132e5a7b2,2024-10-30T20:14:36Z,2024-10-30T16:35:00Z,2024-10-30T20:14:36Z,2024-07-31T21:02:57Z,2024-08-07T20:16:31Z,2024-11-06T21:06:55Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_aedbd98efd6d437be88c6365e02e,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_4f6588b28ad1a307964798f7ee7e,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_471ad39ad464824a5083dcec,D4C_73c5d7239c7547b083e185eb,2024-03-31,2024Q1,imprivata,ARCC,OBDC,Ares Management,Blue Owl Credit,cross_manager,"Imprivata, Inc., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.0625,,funded,,"[""Imprivata, Inc., Second lien senior secured loan""]",1,2024-04-30T21:41:00Z,"Imprivata, Inc., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.0625,,funded,,"[""Imprivata, Inc., Second lien senior secured loan""]",1,2024-02-07T06:13:00Z,"Imprivata, Inc., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.0625,,funded,,"[""Imprivata, Inc., Second lien senior secured loan""]",1,2024-02-21T16:56:00Z,EVID_216dbc7e95f4c033a20d6411d98d,EVID_cf9e8fee548b7cec121c2dd5ec10,EVID_c55bc16ef788235ffc55f0e1a730,2024-04-30T21:30:34Z,2024-04-30T21:41:00Z,2024-04-30T21:41:00Z,2024-02-07T06:13:00Z,2024-02-21T21:56:10Z,2024-05-08T20:11:16Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_7635d0a72d586c1d6c81d025c28b,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_b6f275ab759090fa67dbdd7db098,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_5cf37f37d8cc75658fecf0cd,D4C_2f148f8a7178279f44b55e68,2024-09-30,2024Q3,realpage,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager,"RealPage, Inc., Second lien",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,,"[""RealPage, Inc., Second lien""]",1,2024-10-30T16:35:00Z,"RealPage, Inc., Second lien",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,,"[""RealPage, Inc., Second lien""]",1,2024-07-31T17:12:00Z,"REALPAGE, INC., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,,"[""REALPAGE, INC., Second lien senior secured loan""]",1,2024-08-07T16:28:00Z,EVID_cfa15c35567a13105ee6321cc21f,EVID_37bba71b2933afaeeec8b2ed3620,EVID_1abab95be3504ed66ea83edfcad4,2024-10-30T20:14:36Z,2024-10-30T16:35:00Z,2024-10-30T20:14:36Z,2024-07-31T21:02:57Z,2024-08-07T20:16:31Z,2024-11-06T21:06:55Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_aedbd98efd6d437be88c6365e02e,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_4f6588b28ad1a307964798f7ee7e,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_61ecd3e1bf882f44a1da82eb,D4C_b69a59ba23fe389efbf23655,2024-06-30,2024Q2,dealer tire financial,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager,"Dealer Tire Financial, LLC 2, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0375,,funded,,"[""Dealer Tire Financial, LLC 2, First lien - Funded""]",1,2024-07-31T17:12:00Z,"Dealer Tire Financial, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0375,,funded,,"[""Dealer Tire Financial, LLC, First lien - Funded""]",1,2024-05-01T17:09:00Z,"Dealer Tire Financial, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0375,,funded,,"[""Dealer Tire Financial, LLC, First lien senior secured loan""]",1,2024-05-08T16:11:00Z,EVID_b479500b1d150d6f8490c488ec1b,EVID_91e530de6cbfc233c62ca3600245,EVID_88a1bcc66efa26919fedc23814cb,2024-07-31T21:02:57Z,2024-07-31T17:12:00Z,2024-07-31T21:02:57Z,2024-05-01T21:02:05Z,2024-05-08T20:11:16Z,2024-08-07T20:16:31Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_6971524935f6fda37740b5845c00,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_fe2c2091eb45d44c8e13f1e154bd,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_63b2a05cc278206fb1ea62f5,D4C_de4b0b522f99cae982e64890,2024-12-31,2024Q4,physician partners,OBDC,NMFC,Blue Owl Credit,New Mountain Capital,cross_manager,"Physician Partners, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Physician Partners, LLC, First lien senior secured loan""]",1,2025-02-19T16:33:00Z,"Physician Partners, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Physician Partners, LLC, First lien senior secured loan""]",1,2024-11-06T16:07:00Z,"Physician Partners, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Physician Partners, LLC, First lien - Funded""]",1,2024-10-30T16:35:00Z,EVID_f08f9c78dc000cbc3b16f0e7501f,EVID_c6ae8a4159feae88f9e6a039f4fb,EVID_9f77a017c5960111b8146b800367,2025-01-16T13:30:14Z,2025-02-19T16:33:00Z,2025-02-19T16:33:00Z,2024-11-06T21:06:55Z,2024-10-30T20:14:36Z,2025-02-26T21:25:39Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_88001f09beedb709212a7bc2f932,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_73f4ca6891092b6d799593c1642a,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_6ee2291c04b00d1b22b7b267,D4C_4a7fcd14285a77567413401c,2024-09-30,2024Q3,icefall parent,ARCC,NMFC,Ares Management,New Mountain Capital,cross_manager,"Icefall Parent, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.065,,funded,,"[""Icefall Parent, Inc., First lien senior secured loan""]",1,2024-10-29T20:56:00Z,"Icefall Parent, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.065,,funded,,"[""Icefall Parent, Inc., First lien senior secured loan""]",1,2024-07-29T21:10:00Z,"Icefall Parent, Inc. First lien",other_debt,first_lien,UNKNOWN,UNKNOWN,0.065,,funded,,"[""Icefall Parent, Inc. First lien""]",1,2024-07-31T17:12:00Z,EVID_7b7c569f69029b46738e49394cd1,EVID_178fcea680295f109d272afcb7ff,EVID_1c4396e3501b79b508a941facf5e,2024-10-29T20:49:55Z,2024-10-29T20:56:00Z,2024-10-29T20:56:00Z,2024-07-29T21:10:00Z,2024-07-31T21:02:57Z,2024-10-30T20:14:36Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_092c798862a2d1a01a62bcb9c348,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_7dd3809ed807eed4170afe9ac05e,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_727e71576f0adc597105703e,D4C_882104d237f3d6dd3c7b3486,2024-03-31,2024Q1,confluent health,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager,"Confluent Health, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Confluent Health, LLC, First lien - Funded""]",1,2024-05-01T17:09:00Z,"Confluent Health, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Confluent Health, LLC, First lien - Funded""]",1,2024-02-26T16:48:00Z,"Confluent Health, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Confluent Health, LLC, First lien senior secured loan""]",1,2024-02-21T16:56:00Z,EVID_27bda17820e09e5b9741d78f6c29,EVID_a391dbae8f99304f4794defd60bd,EVID_1a89a59870047266a7d3d1911b23,2024-05-01T21:02:05Z,2024-05-01T17:09:00Z,2024-05-01T21:02:05Z,2024-02-26T16:48:00Z,2024-02-21T21:56:10Z,2024-05-08T20:11:16Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_f4da9a1599beb7dd1100bb660667,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_b6f275ab759090fa67dbdd7db098,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_7670a049ffc59284be623965,D4C_12345993a9ab095734458c90,2024-06-30,2024Q2,athenahealth,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager,"athenahealth Group Inc., First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0325,,funded,,"[""athenahealth Group Inc., First lien - Funded""]",1,2024-07-31T17:12:00Z,"athenahealth Group Inc., First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0325,,funded,,"[""athenahealth Group Inc., First lien - Funded""]",1,2024-05-01T17:09:00Z,"Athenahealth Group Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0325,,funded,,"[""Athenahealth Group Inc., First lien senior secured loan""]",1,2024-05-08T16:11:00Z,EVID_64fdf9331ce16379a8f0acc69a38,EVID_7621ec7c76407a12c811523a11e5,EVID_639acd1978b2b645943ddbec39fd,2024-07-31T21:02:57Z,2024-07-31T17:12:00Z,2024-07-31T21:02:57Z,2024-05-01T21:02:05Z,2024-05-08T20:11:16Z,2024-08-07T20:16:31Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_6971524935f6fda37740b5845c00,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_fe2c2091eb45d44c8e13f1e154bd,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_76b859d80360a81d9d5c270a,D4C_a1017863b41dfa6536a58b29,2024-03-31,2024Q1,confluent medical technologies,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager,"Confluent Medical Technologies, Inc., First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0375,,funded,,"[""Confluent Medical Technologies, Inc., First lien - Funded""]",1,2024-05-01T17:09:00Z,"Confluent Medical Technologies, Inc., First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0375,,funded,,"[""Confluent Medical Technologies, Inc., First lien - Funded""]",1,2024-02-26T16:48:00Z,"Confluent Medical Technologies, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0375,,funded,,"[""Confluent Medical Technologies, Inc., First lien senior secured loan""]",1,2024-02-21T16:56:00Z,EVID_9a1a74437b420c9a50de205e683f,EVID_69f7d0c06e47d2a13494a754a491,EVID_56ea001b1f5c827be6fb87f308ca,2024-05-01T21:02:05Z,2024-05-01T17:09:00Z,2024-05-01T21:02:05Z,2024-02-26T16:48:00Z,2024-02-21T21:56:10Z,2024-05-08T20:11:16Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_f4da9a1599beb7dd1100bb660667,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_b6f275ab759090fa67dbdd7db098,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_777e7c967340248687097994,D4C_f1fa67b3c71fc9ca511097e7,2025-03-31,2025Q1,associations,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager,"Associations, Inc., First lien",other_debt,first_lien,UNKNOWN,UNKNOWN,0.065,,funded,,"[""Associations, Inc., First lien""]",1,2025-05-05T16:21:00Z,"Associations, Inc., First lien",other_debt,first_lien,UNKNOWN,UNKNOWN,0.065,,funded,,"[""Associations, Inc., First lien""]",1,2025-02-26T16:42:00Z,"Associations, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.065,,funded,,"[""Associations, Inc., First lien senior secured loan""]",1,2025-02-19T16:33:00Z,EVID_6e5abfcd5abc0f1a8c4aca7a203f,EVID_a38d59fbbe3bab6f12ae69f30c79,EVID_312e057eab69a158a39e8510c239,2025-05-05T20:16:38Z,2025-05-05T16:21:00Z,2025-05-05T20:16:38Z,2025-02-26T21:25:39Z,2025-02-19T16:33:00Z,2025-05-07T20:15:44Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_67f7cee00008c53e9067e82ad1d5,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_d74006910aa6b0107a96e3fe23be,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_89011b3c621fd1f9e6856963,D4C_6f17e958867337e7b952aecb,2025-06-30,2025Q2,forescout technologies,ARCC,OBDC,Ares Management,Blue Owl Credit,cross_manager,"Forescout Technologies, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.05,,funded,,"[""Forescout Technologies, Inc., First lien senior secured loan""]",1,2025-07-28T21:23:00Z,"Forescout Technologies, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.05,,funded,,"[""Forescout Technologies, Inc., First lien senior secured loan""]",1,2025-04-28T21:50:00Z,"Forescout Technologies, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.05,,funded,,"[""Forescout Technologies, Inc., First lien senior secured loan""]",1,2025-05-07T16:16:00Z,EVID_c2145f6efbeebdfc0c1ccefe8252,EVID_01059d2d6881b501a106e0bf5a9b,EVID_1eef12f21c781ff4a735d1bcd520,2025-07-28T21:11:20Z,2025-07-28T21:23:00Z,2025-07-28T21:23:00Z,2025-04-28T21:50:25Z,2025-05-07T20:15:44Z,2025-08-06T20:05:51Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_e9441d536c302167a4281124543b,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_cfdc90da8292b0faedca36a026bd,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_92c14af825841f163b269f1a,D4C_d8e62707d06fcd67ca0d7e7d,2024-06-30,2024Q2,community brands parentco,ARCC,NMFC,Ares Management,New Mountain Capital,cross_manager,"Community Brands ParentCo, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.055,,funded,,"[""Community Brands ParentCo, LLC, First lien senior secured loan""]",1,2024-07-29T21:10:00Z,"Community Brands ParentCo, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.055,,funded,,"[""Community Brands ParentCo, LLC, First lien senior secured loan""]",1,2024-04-30T21:41:00Z,"Community Brands ParentCo, LLC, First lien",other_debt,first_lien,UNKNOWN,UNKNOWN,0.055,,funded,,"[""Community Brands ParentCo, LLC, First lien""]",1,2024-05-01T17:09:00Z,EVID_4973a7ac64326cea1ba8fee5f72a,EVID_806f06279e2301bd55304387b28b,EVID_8fc2b852be06557829ebb5e7702c,2024-07-29T20:56:19Z,2024-07-29T21:10:00Z,2024-07-29T21:10:00Z,2024-04-30T21:41:00Z,2024-05-01T21:02:05Z,2024-07-31T21:02:57Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_ae291016fcb2ab27587998262641,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_6c9af29e6bd8b8e8f4a3b86fc293,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_94d631ce61b94754d8e2e7ac,D4C_430edc2d182c7ce0d6e2ca71,2024-03-31,2024Q1,community brands parentco,ARCC,NMFC,Ares Management,New Mountain Capital,cross_manager,"Community Brands ParentCo, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.055,,funded,,"[""Community Brands ParentCo, LLC, First lien senior secured loan""]",1,2024-04-30T21:41:00Z,"Community Brands ParentCo, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.055,,funded,,"[""Community Brands ParentCo, LLC, First lien senior secured loan""]",1,2024-02-07T06:13:00Z,"Community Brands ParentCo, LLC, First Lien",other_debt,first_lien,UNKNOWN,UNKNOWN,0.055,,funded,,"[""Community Brands ParentCo, LLC, First Lien""]",1,2024-02-26T16:48:00Z,EVID_ea6d531d8686e5b05bf993903fc1,EVID_aed322068cb2a181e6ac17e93c97,EVID_73729cf79c0535642ecc69c977a0,2024-04-30T21:30:34Z,2024-04-30T21:41:00Z,2024-04-30T21:41:00Z,2024-02-07T06:13:00Z,2024-02-26T16:48:00Z,2024-05-01T21:02:05Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_7635d0a72d586c1d6c81d025c28b,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_fef701d1901dc3778fe73b66a345,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_a090c63f75ee562bc6f9ef0a,D4C_916829a2249a81a0b8cdecc7,2024-06-30,2024Q2,pluralsight,OCSL,OBDC,Oaktree Capital Management,Blue Owl Credit,cross_manager,"Pluralsight, LLC, First Lien Revolver",revolver,first_lien,UNKNOWN,UNKNOWN,0.08,,funded,,"[""Pluralsight, LLC, First Lien Revolver""]",1,2024-07-31T20:23:00Z,"Pluralsight, LLC, First Lien Revolver",revolver,first_lien,UNKNOWN,UNKNOWN,0.08,,funded,,"[""Pluralsight, LLC, First Lien Revolver""]",1,2024-04-29T18:41:00Z,"Pluralsight, LLC, First lien senior secured revolving loan",revolver,first_lien,UNKNOWN,UNKNOWN,0.08,,funded,,"[""Pluralsight, LLC, First lien senior secured revolving loan""]",1,2024-05-08T16:11:00Z,EVID_8ba930b035b31dc88ad819f2f5e6,EVID_924d1a364c57cc8ab01328f25b16,EVID_90fcd1d249dea8acfd46abd9b348,2024-08-01T00:22:39Z,2024-07-31T20:23:00Z,2024-08-01T00:22:39Z,2024-04-29T22:41:19Z,2024-05-08T20:11:16Z,2024-08-07T20:16:31Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_b6c3ed14307f87b1ab76541e1d98,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_fe2c2091eb45d44c8e13f1e154bd,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_a1156685a562cbc4e55d9dac,D4C_0b4a61e9bc5641cbaf2a0a49,2024-06-30,2024Q2,pluralsight,ARCC,OBDC,Ares Management,Blue Owl Credit,cross_manager,"Pluralsight, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,,,funded,,"[""Pluralsight, Inc., First lien senior secured loan""]",1,2024-07-29T21:10:00Z,"Pluralsight, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.08,,funded,,"[""Pluralsight, Inc., First lien senior secured loan""]",1,2024-04-30T21:41:00Z,"Pluralsight, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.08,,funded,,"[""Pluralsight, LLC, First lien senior secured loan""]",1,2024-05-08T16:11:00Z,EVID_92264b92772fee7e283b53580348,EVID_b6631b6936316eaa210db409f249,EVID_c7bfa71969340e089e6de69d6e60,2024-07-29T20:56:19Z,2024-07-29T21:10:00Z,2024-07-29T21:10:00Z,2024-04-30T21:41:00Z,2024-05-08T20:11:16Z,2024-08-07T20:16:31Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_ae291016fcb2ab27587998262641,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_fe2c2091eb45d44c8e13f1e154bd,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_a9e710e23cea3368c91e9215,D4C_181eac36dc737a830ceeca8e,2024-06-30,2024Q2,next holdco,ARCC,NMFC,Ares Management,New Mountain Capital,cross_manager,"Next Holdco, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,,"[""Next Holdco, LLC, First lien senior secured loan""]",1,2024-07-29T21:10:00Z,"Next Holdco, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,,"[""Next Holdco, LLC, First lien senior secured loan""]",1,2024-04-30T21:41:00Z,"Next Holdco, LLC, First lien",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,,"[""Next Holdco, LLC, First lien""]",1,2024-05-01T17:09:00Z,EVID_b6d38b1b1cd462e49045e3b51075,EVID_70d291f88cb409a580be439e818f,EVID_cdef5a24418bce7c9b8156e8ac08,2024-07-29T20:56:19Z,2024-07-29T21:10:00Z,2024-07-29T21:10:00Z,2024-04-30T21:41:00Z,2024-05-01T21:02:05Z,2024-07-31T21:02:57Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_ae291016fcb2ab27587998262641,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_6c9af29e6bd8b8e8f4a3b86fc293,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_b2efd7a01d55a72bb3cf4893,D4C_dc612bcff91fce1eae770132,2024-09-30,2024Q3,physician partners,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager,"Physician Partners, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Physician Partners, LLC, First lien - Funded""]",1,2024-10-30T16:35:00Z,"Physician Partners, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Physician Partners, LLC, First lien - Funded""]",1,2024-07-31T17:12:00Z,"Physician Partners, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Physician Partners, LLC, First lien senior secured loan""]",1,2024-08-07T16:28:00Z,EVID_cae5665cda327dc869e39fec4f64,EVID_caae6b80766029b85ce2770f70ea,EVID_75201f9c1ddadbe2bfc4c9e17a21,2024-10-30T20:14:36Z,2024-10-30T16:35:00Z,2024-10-30T20:14:36Z,2024-07-31T21:02:57Z,2024-08-07T20:16:31Z,2024-11-06T21:06:55Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_aedbd98efd6d437be88c6365e02e,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_4f6588b28ad1a307964798f7ee7e,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
